[0000.00] 準備好了嗎？
[0000.84] 今天我們有個超酷任務
[0002.68] 把你腦中的無敵大點子
[0004.48] 變成真實作品！
[0006.16] 想想看
[0006.76] 如果有一個超讚的點子
[0008.48] 你會直接花好幾個月
[0010.12] 一次把整個作品做完嗎？
[0012.59] 這樣風險太高啦！
[0014.79] 其實最聰明的做法是
[0016.67] 只花一天
[0017.87] 先測試最核心最關鍵的功能
[0021.63] 這就叫最小可行原型
[0024.11] 也就是把你超大的點子
[0025.83] 縮小成最簡單
[0027.31] 能馬上測試的版本
[0029.23] 舉例來說
[0030.27] 別急著做完整的 Scratch 動畫
[0032.35] 先做個簡單按鈕
[0033.55] 測試角色會不會動就好
[0035.71] 秘訣是設計流程
[0038.31] 只要三個簡單步驟
[0040.07] 怎麼開始 怎麼操作
[0041.91] 還有最後會得到什麼結果
[0044.47] 實作時
[0045.39] 請記住這個黃金法則
[0047.63] 大腦先思考
[0049.03] AI 來協助
[0050.23] 最後由你負責判斷
[0052.31] 沒錯
[0052.79] 你要先自己想點子
[0054.23] 再讓 AI 給點建議
[0056.07] 但記住哦
[0056.91] 最後做決定的人
[0057.99] 絕對是你
[0059.27] 畢竟 AI 只是工具
[0061.27] 不一定對也沒有標準答案
[0063.27] 你也得自己當裁判
[0064.47] 判斷他的建議好不好
[0066.47] 換你動手了
[0067.71] 今天任務
[0068.59] 挑出核心功能
[0070.19] 畫出三步驟流程
[0072.15] 接著做出你的測試原型
[0074.63] 測試後記得記錄下來
[0076.15] 發現什麼問題
[0077.23] 下一步怎麼改
[0078.35] 這就是專業設計師的日常哦
[0080.67] 現在先暫停討論一下
[0082.39] 如果只能做一個功能
[0084.35] 來證明點子有用
[0085.79] 你會選哪個
[0086.75] 為什麼
